late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
,107,,,,,,,,,,
,91,,,,,,,,,,
,2,,,,,,,,,,
,106,,,,,,,,,,
,91,,,,,,,,,,
,49,,,,,,,,,,
